time,jogos,vitorias,empates,derrotas,gm,gs,jogcasa,vitcasa,empcasa,gmc,gsc,jogfora,vitfora,empfora,gmf,gsf,perf_ult_5_jgs,chutes_jg,estilo
barcelona,22,18,1,3,60,23,10,10,0,31,5,12,8,1,29,18,8,7.5,posse
realmadrid,22,17,3,2,47,18,11,10,0,25,7,11,7,3,22,11,10,7.2,posse
atmadrid,22,13,6,3,38,17,11,10,1,26,7,11,3,5,12,10,8,4.4,defensivo
villareal,21,13,3,5,39,23,11,8,1,23,9,10,5,2,16,14,5,4.6,contra_ataque
betis,22,9,8,5,36,28,11,7,1,22,12,11,2,7,14,16,5,4.9,posse
espanyol,22,10,4,8,26,27,12,6,1,14,16,10,4,3,12,11,1,4.4,contra_ataque
celta,22,8,9,5,29,23,11,3,5,16,13,11,5,4,13,10,7,4,contra_ataque
sociedad,22,7,7,8,30,30,11,5,2,18,16,11,2,5,12,14,8,5,posse
osasuna,22,7,5,10,26,27,11,6,3,20,13,11,1,2,6,14,6,3.6,pressao
alaves,22,7,4,11,20,27,11,5,3,14,11,11,2,1,6,16,5,3.8,contra_ataque
bilbao,22,7,4,11,21,31,11,5,2,11,12,11,2,2,10,19,2,4.4,pressao
girona,22,6,7,9,21,36,11,3,4,10,18,11,3,3,11,18,7,3.5,posse
elche,22,5,9,8,30,32,12,5,5,20,13,10,0,4,10,19,2,3.7,defensivo
mallorca,22,6,6,10,28,34,11,5,4,18,14,11,1,2,10,20,4,4,defensivo
sevilla,22,7,3,12,29,37,11,4,1,16,17,11,3,2,13,20,3,4,posse
valencia,22,5,8,9,23,35,11,4,5,15,11,11,1,3,8,24,5,3,contra_ataque
getafe,22,6,5,11,16,27,11,3,3,8,9,11,3,2,8,18,3,2.6,defensivo
rayo,22,5,7,10,18,30,10,2,6,8,9,12,3,1,10,21,3,4.4,pressao
levante,21,4,6,11,24,34,10,1,4,11,20,11,3,2,13,14,6,3.3,contra_ataque
oviedo,22,3,7,12,12,34,11,2,5,4,11,11,1,2,8,23,4,3,defensivo